Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category,Clus_Db
BANDAR SKUDAI TENGAH,GELANG PATAH,JOHOR,1.5378491716666922,103.66129917141672,2233,4d649907072a6ea8d004f44d,新天茶餐室,1.5419422126718767,103.657230327115,642.0,4bf58dd8d48988d145941735,Chinese Restaurant,3
BANDAR SKUDAI TENGAH,GELANG PATAH,JOHOR,1.5378491716666922,103.66129917141672,2233,50ecc24de4b0b31976bfc11b,何明记全旦云吞面,1.5311416979842487,103.66526671429472,867.0,4bf58dd8d48988d142941735,Asian Restaurant,3
BANDAR SKUDAI TENGAH,GELANG PATAH,JOHOR,1.5378491716666922,103.66129917141672,2233,58a5351cebf028369d70619a,Ban Heong Seng 万香城,1.538593,103.669876,958.0,4bf58dd8d48988d145941735,Chinese Restaurant,3
BANDAR SKUDAI TIMOR,GELANG PATAH,JOHOR,1.534675788739149,103.66703399252177,248,4ce3db6b05f7a0935495a228,Maedo Ying Bin Restaurant 美都海鲜酒楼,1.525810093565624,103.66553848722548,1000.0,4bf58dd8d48988d145941735,Chinese Restaurant,3
BANDAR SKUDAI TIMOR,GELANG PATAH,JOHOR,1.534675788739149,103.66703399252177,248,58a5351cebf028369d70619a,Ban Heong Seng 万香城,1.538593,103.669876,538.0,4bf58dd8d48988d145941735,Chinese Restaurant,3
BANDAR SKUDAI TIMOR,GELANG PATAH,JOHOR,1.534675788739149,103.66703399252177,248,4cc90f6ebcb1b1f70e130d8a,新北京起骨海南鸡饭,1.52988852275472,103.66404888479471,627.0,4bf58dd8d48988d145941735,Chinese Restaurant,3
BANDAR ULU TIRAM SELATAN,TEBRAU,JOHOR,1.597192697588258,103.82195573376478,2419,4cfddfe5c51fa1cdba70f32b,Restoran Mohamed Ali,1.5987300796332875,103.82188200186852,171.0,4bf58dd8d48988d142941735,Asian Restaurant,4
BANDAR ULU TIRAM SELATAN,TEBRAU,JOHOR,1.597192697588258,103.82195573376478,2419,4d33e03b6c7c721ebe5dbd56,SDS Cake House & Cafeteria,1.5988985685943782,103.8215639360286,194.0,4bf58dd8d48988d142941735,Asian Restaurant,4
BANDAR ULU TIRAM SELATAN,TEBRAU,JOHOR,1.597192697588258,103.82195573376478,2419,50939a50e4b0578aada1bdc2,JJ Bakso Ulu Tiram,1.5986333722916164,103.82238743315615,167.0,4bf58dd8d48988d142941735,Asian Restaurant,4
BANDAR ULU TIRAM SELATAN,TEBRAU,JOHOR,1.597192697588258,103.82195573376478,2419,4fec7f10e4b0f47c7056fd8f,Jogja Bakso,1.5937540333535538,103.82038208006078,420.0,4bf58dd8d48988d142941735,Asian Restaurant,4
